"date","hexagons_affected","total_occurrences"
"2026-01-01",12,264
"2026-01-02",24,432
"2026-01-03",79,999
"2026-01-04",278,443
"2026-01-05",755,2104
"2026-01-06",739,1495
"2026-01-07",1475,4046
"2026-01-08",184,590
"2026-01-09",4419,57731
"2026-01-10",5392,167908
"2026-01-11",2550,69106
"2026-01-12",2081,44482
"2026-01-13",1079,46031
"2026-01-14",1959,42323
"2026-01-15",1037,21602
"2026-01-16",605,6148
"2026-01-17",400,4418
"2026-01-18",2637,7236
"2026-01-19",521,3200
"2026-01-20",628,5167
"2026-01-21",1836,16993
"2026-01-22",2033,24196
"2026-01-23",348,2280
"2026-01-24",1637,25783
"2026-01-25",2234,27710
"2026-01-26",1537,12529
"2026-01-27",1463,10146
"2026-01-28",293,3868
"2026-01-29",556,7224
"2026-01-30",1143,6323
"2026-01-31",573,4026
"2026-02-01",210,1474
"2026-02-02",1335,16560
"2026-02-03",703,32994
"2026-02-04",1032,28515
"2026-02-05",744,30543
"2026-02-06",262,2380
"2026-02-07",264,4810
"2026-02-08",249,1905
"2026-02-09",301,3058
"2026-02-10",787,12975
"2026-02-11",555,6986
"2026-02-12",1903,22319
"2026-02-13",787,8010
"2026-02-14",206,2597
"2026-02-15",1527,10158
"2026-02-16",659,7447
"2026-02-17",1421,14590
"2026-02-18",1306,10001
"2026-02-19",1032,13535
"2026-02-20",109,1996
"2026-02-21",140,2554
"2026-02-22",1500,6189
"2026-02-23",1191,8568
"2026-02-24",2791,26656
"2026-02-25",2633,21139
"2026-02-26",1233,15403
"2026-02-27",1275,19443
"2026-02-28",5978,81118
"2026-03-01",250,4646
"2026-03-02",554,7578
"2026-03-03",2480,34464
"2026-03-04",1295,19637
"2026-03-05",842,10600
"2026-03-06",800,6676
"2026-03-07",2973,30562
"2026-03-08",2518,29382
"2026-03-09",4305,35944
"2026-03-10",81,649
"2026-03-11",12436,128633
"2026-03-12",16480,581983
"2026-03-13",2013,58446
"2026-03-14",1046,18796
"2026-03-15",1532,15239
"2026-03-16",9099,80446
"2026-03-17",37001,821564
"2026-03-18",6554,185152
"2026-03-19",1221,15569
"2026-03-20",1994,11453
"2026-03-21",1122,4923
"2026-03-22",447,2876
"2026-03-23",799,4329
"2026-03-24",4332,41223
"2026-03-25",2531,22845
"2026-03-26",2568,26230
"2026-03-27",816,5884
"2026-03-28",873,6532
"2026-03-29",153,3509
"2026-03-30",4213,12516
"2026-03-31",2121,17453
"2026-04-01",1370,12545
"2026-04-02",1588,13887
"2026-04-03",6537,40121
"2026-04-04",2406,19108
"2026-04-05",6220,89456
"2026-04-06",726,9439
"2026-04-07",862,6785
"2026-04-08",923,5632
"2026-04-09",2826,29343
"2026-04-10",118,1164
